parameter,value,se_sa,rse_sa
ka_pop,9.98138457843183,1.96186550535943,19.6552441191246
kLP_pop,1.22168510302144,0.256791224390329,21.0194283089185
kCl_pop,4.96697764820201,0.443650709619009,8.93200535701233
kPL_pop,1.58482105861074,0.274208950323425,17.3022025946448
Vol_pop,41743.3109135461,4390.8942022213,10.5187971584602
omega_ka,0.374279191606878,0.13513750047099,36.1060682777499
omega_kLP,0.0989515810672603,0.113261242993327,114.461276688788
omega_kCl,0.0324040026125574,0.0415416776553523,128.199217090712
omega_kPL,0.102329956906156,0.167674248100276,163.856463121592
omega_Vol,0.122690217823399,0.0567586310792506,46.2617412261417
b,0.339868578789586,0.0316381236608196,9.30892869634967
